Número;Ticket#;Antigüedad;Título;Creado;Last Changed;Fecha de cierre;Cola;Estado;Prioridad;Tiempo contabilizado;SolutionTime;Proceso;Actividad;Cliente;Parche;Estandar;Soporte;Estado de implementacion;Parche Normalizado;Resultado del pasaje;Fecha de aplicacion en TEST;Fecha de aplicacion en PROD;OT;Horas NM;Tipo;Dificultad;Consultor;Estado Desarrollo de OTs;OT Dependiente;Fecha Desarrollo Iniciado;Fecha Fin de Desarrollo;Desarrollador;Fecha Estimada de Entrega;Ticket;Funcional;Modulo / Entidad
1;2022022201000073;128 d 5 h ;OT_CH_20210222_01 reporte de importe a transferir;2022-02-22 13:25:04;2022-03-11 12:57:25;2022-03-11 12:57:16;Consultoría::Para Testear;closed successful;1 very low;0;;OTs;Finalizado - Aplicad...;Comahue;co20220223ch-03;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_CH_20210222_01;2;REP;1;Diego Bonino;Desarrollo Finalizado;;2022-02-23 16:00:00;2022-03-02 15:41:00;mes;2022-02-24 12:00:00;;;
2;2021090901000097;294 d 7 h ;FN_GET_COTIZACION;2021-09-09 12:08:20;2022-05-03 14:20:08;2022-05-03 14:20:08;Cerrados;closed successful;3 normal;0;;OTs;En TEST/Revisión Con...;Bice Fideicomisos;co20210909-03;Unchecked;Unchecked;En prueba TEST;;Correcto;;;SIN OT;1;SQL;1;Nestor Paladino;Desarrollo Finalizado;;2021-09-09 12:20:00;2022-04-27 14:35:00;eis;2021-09-09 13:20:00;;;
3;2021101601000099;256 d 20 h ;Cambio de estructura: Verif. Telefónica Vía SMS;2021-10-16 22:11:04;2022-03-01 15:17:46;2022-03-01 15:17:46;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Normalizando Parche;Credimundo;-;Unchecked;Unchecked;En normalizacion de Parche;;;;;INC_CM_20220127_01;1;WIZ;1;Diego Bonino;Desarrollo Finalizado;;2022-01-28 13:00:00;2022-01-28 13:00:00;gpg;2022-01-28 13:00:00;;;
4;2021111501000099;227 d 5 h ;REQ - Baja adhesión débito automático del resumen en cuentas en mora tardía;2021-11-15 13:39:07;2022-06-23 16:29:46;2022-04-13 09:36:42;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;Finalizado - Aplicad...;La Anonima;co20220119la-02;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_LA_20220112_01;6;SQL;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-01-18 15:00:00;2022-01-20 14:19:00;jm;2022-01-19 18:00:00;;;
5;2021111701000166;225 d 4 h ;Trámite Ajustes Préstamos;2021-11-17 15:00:49;2022-05-23 15:19:56;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220103la-01,co20211123la-01;Unchecked;Unchecked;En prueba TEST;Checked;Correcto;;;OT_LA_20211116_01;8;TRA;1;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2021-11-17 15:15:00;2022-01-03 14:58:00;grp;2021-11-19 15:15:00;;;
6;2021112401000189;218 d 1 h ;OT_LA_20211124_02: FrontEnd provisorio;2021-11-24 18:00:13;2022-01-17 14:58:46;2022-01-17 14:58:46;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;La Anonima;co20211223la-03,co20211230-01,co20220107la-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_LA_20211124_02;11;WIZ;6;Andres Veiga;Desarrollo Finalizado;;2021-12-20 08:00:00;2022-01-07 13:18:00;mes;2021-12-23 17:00:00;;;
7;2021112601000087;216 d 2 h ;Trámite Pres a Pres - Pago erróneo;2021-11-26 16:31:00;2022-05-23 15:24:17;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20211203la-01,co20220211la-01;Unchecked;Unchecked;En prueba TEST;Checked;Correcto;;;OT_LA_20211123_02;8;TRA;1;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2021-12-01 12:25:00;2022-02-14 13:51:00;grp;2021-12-03 12:25:00;;;
8;2021112601000096;216 d 2 h ;Trámite TC a Pres - Pago erróneo;2021-11-26 16:37:15;2022-05-23 15:25:13;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20211203la-03,co20220211la-02;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_LA_20211126_01;8;TRA;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2021-12-03 10:55:00;2022-02-14 13:53:00;grp;2021-12-06 17:55:00;;;
9;2021112601000103;216 d 2 h ;Trámite Pres a TC - Pago erróneo;2021-11-26 16:42:24;2022-05-23 15:25:51;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20211207la-01,co20220211la-03;Unchecked;Unchecked;En prueba TEST;Checked;Correcto;;;OT_LA_20211126_02;8;TRA;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2021-12-03 17:44:00;2022-02-14 13:55:00;grp;2021-12-06 17:44:00;;;
10;2021120201000067;210 d 5 h ;Herramienta de Liquidación de BT;2021-12-02 13:59:11;2022-02-22 18:18:18;2022-02-22 18:18:18;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220131bf-02 , co20220202bf-02;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211130_01;6;WIZ;5;Nestor Paladino;Desarrollo Finalizado;OT_BF_20211228_01 OT_BF_20211129_01;2022-01-31 17:40:00;2022-02-21 16:33:00;gpg;2022-01-31 17:40:00;;;
11;2021120201000085;210 d 2 h ;Trámite de Transferencia BT;2021-12-02 16:21:10;2022-02-22 18:20:07;2022-02-22 18:20:03;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220131bf-03;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211129_01;4;TRA;3;Nestor Paladino;Desarrollo Finalizado;OT_BF_20211128_01;2021-12-07 11:20:00;2022-02-15 10:25:00;jm;2021-12-08 11:20:00;;;
12;2021120201000094;210 d 2 h ;SP de Trámite de Transferencia BT;2021-12-02 16:23:13;2022-04-08 08:32:45;2022-04-08 08:32:45;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220210bf-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211129_02;3;SQL;4;Nestor Paladino;Desarrollo Finalizado;OT_BF_20211128_01;2022-02-09 09:24:00;2022-02-14 14:29:00;grp;2022-02-09 17:24:00;;;
13;2021120201000138;210 d 1 h ;Crear un nueva Plantilla para las carpetas de Entidades  (Plantilla STD + resumen de Cta. Cte. Std.);2021-12-02 18:05:22;2022-02-18 10:15:58;2022-02-18 10:15:58;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220216bf-01 co20220124bf-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211130_02;6;CGI;5;Andres Veiga;Desarrollo Finalizado;;2022-01-24 09:58:00;2022-02-17 14:09:00;gpg;2022-01-24 09:58:00;;;
14;2021120601000121;206 d 1 h ;Proceso de contabilización diaria de las Comisiones por Garantías a COBRAR;2021-12-06 17:33:33;2022-05-31 14:06:06;2022-05-31 14:06:06;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220131bf-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_BF_20211203_01;6;SQL;4;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-01-31 09:28:00;2022-01-31 11:05:00;gpg;2022-01-31 09:28:00;;;
15;2021120701000101;205 d 5 h ;Modificaciones Tramite de Ejecución de Garantías;2021-12-07 13:23:15;2022-02-03 11:33:03;2022-02-03 11:33:03;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220124bf-02 co20220107bf-01,co20211229bf-07;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211130_04;3;TRA;4;Nestor Paladino;Desarrollo Finalizado;OT_BF_20211130_03;2021-12-29 14:02:00;2022-02-02 17:31:00;gpg;2021-12-29 14:02:00;;;
16;2021120701000111;205 d 5 h ;Cambio puesto de Trabajo Autorizador Ejecución Garantías;2021-12-07 13:30:08;2022-01-07 10:59:12;2022-01-07 10:59:12;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;"co20211220bf-01;co20220106-01";Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20211130_05;5;DLG;4;Nestor Paladino;Desarrollo Finalizado;OT_BF_20211130_04;2021-12-17 16:10:00;2022-01-06 12:55:00;eis;2021-12-20 10:10:00;;;
17;2021120701000138;205 d 4 h ;Modificación de Puesto de Trabajo de Entidad Externa para acceder a cierto tipo de Trámites;2021-12-07 14:26:11;2022-01-25 11:12:38;2022-01-25 09:53:21;Cerrados;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20211223bf-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_BF_20211130_06;3;TRA;4;Nestor Paladino;Desarrollo Finalizado;;2021-12-17 15:40:00;2022-01-17 14:57:00;jm;2021-12-18 09:40:00;;;
